題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
190,品牌企劃師在撰寫活動計畫書時，必須檢核「5W2H1E」架構。其中「How much」在預算編列外，通常也涉及下列哪項關鍵職能？,文案企劃概論 (K06),成本概念 (K11) 與合約知識 (K12),美學概論 (K07),市場調查 (S02),2,1.正確： 預算涉及成本概念 (K11)，且在執行發包時需具備合約知識 (K12) 以管控風險。<br>2.錯誤： (A)(C)(D) 雖相關，但非「How much」的核心職能基礎。
191,某百年餅店為了吸引年輕族群，邀請虛擬偶像擔任代言人。雖然品牌的「知名度」顯著提升，但老客戶卻反映「這不是我認識的品牌」而減少購買。這代表該品牌在重塑過程中面臨哪種風險？,品牌授權風險,品牌稀釋與聯想混淆,產品線深度不足,通路衝突風險,2,1.正確： 品牌重塑若與核心價值偏離過大，會導致原有正面聯想被稀釋並產生認知混淆。<br>2.錯誤： (A) 涉及權利轉讓；(C) 涉及產品變體數；(D) 涉及通路成員不和。
192,某運動品牌分析數據後發現，有一群消費者總是「在週五晚上點擊廣告」且「購買高單價裝備」。這群人的轉化率高出平均兩倍。在進行市場區隔時，這主要屬於哪類變數？,地理變數,人口統計變數,心理變數,行為變數,4,1.正確： 「購買時機」、「購買頻率」與「對產品的反應」皆屬於行為變數。<br>2.錯誤： (B) 為年齡/職業；(C) 為生活型態/價值觀。
193,某科技公司推出新型雲端遊戲手把，主機定價極低，但要求玩家必須訂閱「專屬每月會員服務」才能進行遊戲。這種透過後續必需服務獲利的定價策略稱為？,撇脂定價法,滲透定價法,互補品定價 (Captive-product),聲望定價法,3,1.正確： 互補品定價係指主產品低價吸引首購，而必需搭配的服務或耗材定高價獲利。<br>2.錯誤： (A) 為初期高價；(B) 為搶市佔定低價。
194,根據 Ansoff 矩陣，若一家連鎖火鍋店決定將其最受歡迎的「特製沙茶醬」裝罐後，在既有的連鎖店門市販售給「老顧客」外帶，這屬於哪種成長策略？,市場滲透 (Market Penetration),市場開發 (Market Development),產品開發 (Product Development),多角化 (Diversification),3,1.正確： 向「既有市場（老客）」推出「新產品（罐頭）」屬於產品開發策略。<br>2.錯誤： (A) 需推廣現有服務；(D) 需推出新產品到全新陌生市場。
195,某企劃活動：廣告花費 10 萬元，產生 50 萬元營收。活動中產品成本佔 20 萬元，行政費用 5 萬元。請問該活動的「廣告投資報酬率 (ROAS)」與「投資報酬率 (ROI)」分別為何？,ROAS=5 / ROI=43%,ROAS=5 / ROI=150%,ROAS=0.2 / ROI=20%,ROAS=4 / ROI=100%,1,1.正確： ROAS = 50/10 = 5；ROI = (50 - (10+20+5)) / (10+20+5) = 15/35 ≈ 42.8%。<br>2.錯誤： ROI 必須扣除包含廣告費在內的所有總成本。
196,某設計師受聘為公司設計商標，合約中「未約定」著作權歸屬，且公司已付清款項。後來公司發現設計師將同一草稿賣給另一家公司。根據《著作權法》，下列何者正確？,公司為著作人，可控告設計師侵權,設計師為著作人，公司僅有使用權,設計師已收款，產權自動移交給公司,該作品屬公共領域，任何人皆可使用,2,1.正確： 出資聘人完成之著作，若未特別約定，以受聘人為著作人，出資人僅得利用。<br>2.錯誤： 法律上權利不會因付款自動轉移，必須在合約中明文約定歸屬。
197,在 AISAS 消費者行為模型中，若某品牌發現「Search 階段」點擊量很高，但「Action 階段」購買率卻極低。行銷經理應優先檢視下列何者？,媒體廣告的視覺是否不夠吸引人,官方網站的下單流程與結帳便利性,代言人的知名度是否足夠,是否應該更換品牌名稱以提升新鮮感,2,1.正確： 到達搜尋後卻不行動，通常是最後轉化環節（網站易用性、價格、決策門檻）出問題。<br>2.錯誤： (A) 視覺會影響 Attention，而非點擊後的行動。
198,某老牌家電品牌進入「衰退期」後，決定減少所有研發投入，並將剩餘產品透過直銷管道低價清空，盡量回收剩餘價值。此策略在 PLC 中稱為？,品牌復興策略,收割策略 (Harvesting),品牌多元化,差異化集中,2,1.正確： 收割策略旨在減少投入，最大限度獲取剩餘利潤並準備逐步退出市場。<br>2.錯誤： (A) 旨在重回成長軌道；(C) 涉及跨足完全新領域。
199,整合行銷傳播 (IMC) 強調一致性。若某企業內部因廣告部與通路部目標衝突，導致「官網強調高質感」而「賣場卻掛滿低價促銷紅布條」。這代表缺乏哪一層級的整合？,知覺整合 (Perception),形象整合,功能整合,關係整合,1,1.正確： 知覺整合是 IMC 的起點，要求內部對品牌核心價值與環境有統一認知。<br>2.錯誤： (C) 功能整合著重於傳播工具間的協調使用。
200,當產品在 BCG 矩陣中處於「金牛 (Cash Cow)」位置時，企業在進行事業部資源分配時最核心的任務為何？,借貸更多資金以擴大生產規模,保持市佔，利用產生的現金流支持明星事業,立即縮減產品線以轉化為落水狗,提高售價以獲取早期採用者利潤,2,1.正確： 金牛事業具高市佔、低成長，重點是穩固市佔並將現金投資於高成長的明星或問題事業。<br>2.錯誤： (A) 擴大投資通常針對明星事業。
